A20001	ab					Ab morgen muss ich wieder arbeiten.	from	I have to go back to work tomorrow.	[sound:word_A20001.mp3]	[sound:sentence_A20001.mp3]
A20002	aber					Heute kann ich nicht kommen, aber morgen habe ich Zeit.	but	I can't come today, but I'm free tomorrow.	[sound:word_A20002.mp3]	[sound:sentence_A20002.mp3]
A20003	aber					Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.	but	We only have a small flat, but we are happy with it.	[sound:word_A20003.mp3]	[sound:sentence_A20003.mp3]
A20004	aber					Es war sehr schön. Jetzt muss ich aber gehen.	but	It was very nice. But now I have to go.	[sound:word_A20004.mp3]	[sound:sentence_A20004.mp3]
A20005	aber					Das ist aber nett von dir.	but	That's really nice of you.	[sound:word_A20005.mp3]	[sound:sentence_A20005.mp3]
A20006	abgeben				gibt ab, hat abgegeben	Ich muss meinen Schlüssel an der Rezeption abgeben.	to give (sth.) in / to submit (sth.) / to deliver (sth.)	I have to hand in my key at reception.	[sound:word_A20006.mp3]	[sound:sentence_A20006.mp3]
A20007	abholen				holt ab, hat abgeholt	Wann kann ich die Sachen bei dir abholen?	pick up	When can I collect the items from you?	[sound:word_A20007.mp3]	[sound:sentence_A20007.mp3]
A20008	abholen				holt ab, hat abgeholt	Wir müssen noch meinen Bruder abholen.	pick up	We still have to pick up my brother.	[sound:word_A20008.mp3]	[sound:sentence_A20008.mp3]
A20009	abschließen				schließt ab, hat abgeschlossen	Hast du die Tür abgeschlossen?	to lock, to finish	Did you lock the door?	[sound:word_A20009.mp3]	[sound:sentence_A20009.mp3]
A20010	abschließen				schließt ab, hat abgeschlossen	Ich schließe dieses Jahr meine Ausbildung ab.	to lock, to finish	I am completing my apprenticeship this year.	[sound:word_A20010.mp3]	[sound:sentence_A20010.mp3]
A20011	abschließen				schließt ab, hat abgeschlossen	Ich schließe dieses Jahr mein Studium ab.	to lock, to finish	I'm finishing my degree this year.	[sound:word_A20011.mp3]	[sound:sentence_A20011.mp3]
A20012	Achtung		(S.g.)			Achtung an Gleis drei: Die Türen schließen. Der Zug fährt jetzt ab.	Attention!	Attention at platform three: close the doors. The train is now departing.	[sound:word_A20012.mp3]	[sound:sentence_A20012.mp3]
A20013	Achtung		(S.g.)			Achtung! Pass auf! Der Verkehr ist hier gefährlich.	Attention!	Watch out! Watch out! The traffic here is dangerous.	[sound:word_A20013.mp3]	[sound:sentence_A20013.mp3]
A20014	Adresse	die	-n			Können Sie mir Ihre Adresse geben?	address	Can you give me your address?	[sound:word_A20014.mp3]	[sound:sentence_A20014.mp3]
